street_address,lat,long
"Jl. HR Rasuna Said No.Kav C5-6, RT.3/RW.1, 10, Karet, Jakarta Selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia",-6.214265699999999,106.8312044
"Jl. Kb. Jeruk Raya No.51, RT.7/RW.12, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",-6.2012674,106.7827057
"Gedung Ariobimo Sentral, Jl. HR. Rasuna Said Blok X-2 Kavling 5, RT.9/RW.4, Kuningan Tim., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",-6.2273579,106.8337156
"Jl. Bend. Hilir 3 No.10, RT.10/RW.1, Bend. Hilir, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia",-6.214715600000001,106.8132842
"Jl. Kramat Sentiong No.2 Kramat, Paseban, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440, Indonesia",-6.1879879,106.8471444
"Jl. Raya Bekasi Barat, RT.3/RW.3, Rw. Bunga, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350, Indonesia",-6.215374499999999,106.8711594
"Jl. Flamboyan No.1, RT.9/RW.3, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",-6.216085400000001,106.8231096
"Jl. Muara Karang Raya No.271, RT.1/RW.7, 8, Pluit, Jakarta Utara, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",-6.118995,106.785392
"Jl. Ampera Raya No.135, RT.5/RW.10, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia",-6.281597100000001,106.8199902
"Jl. Raya Gedong Panjang No.44, RT.6/RW.8, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",-6.128820000000001,106.79719
"Jalan RS. Fatmawati No.24C, Jakarta Selatan, DKI Jakarta, 12420, Indonesia",-6.2694678,106.7976077
"Jl. Cipinang Timur No.43, RT.1, Cipinang, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240, Indonesia",-6.2059638,106.8931518
"Jl. Pekapuran Raya No.8, RT.8/RW.8, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210, Indonesia",-6.1479838,106.8073366
"Jl. Radio Dalam Raya Blok Haji Hamali No.22, RT.1/RW.9, Gandaria Utara, Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia",-6.2524157,106.7914059
"Jl. Tebet Timur Dalam Raya No.29, RT.12/RW.5, Tebet Tim., Jakarta Selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820, Indonesia",-6.2363836,106.8567837
"Jl. Panglima Polim Raya No.60a, Melawai, Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia",-6.246836599999999,106.8000348
"Jalan Guru Mughni No. C4, Karet Semanggi, Setiabudi, RT.5/RW.2, Karet Semanggi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",-6.2269633,106.8213299
"Jl. Pangkalan Asem Raya No.44, RT.4/RW.7, Galur, Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10530, Indonesia",-6.1763153,106.8560204
"Jl. Pluit Selatan Raya Blok A No.8, 8, Jakarta Barat, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",-6.127391100000001,106.7898989
"Jalan Mandala Raya, RT.13/RW.5, Tomang, Grogol petamburan, RT.13/RW.5, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",-6.1765421,106.7995124
"Jl. Kusuma Bangsa No.49, Ketabang, Genteng, Kota SBY, Jawa Timur 60272, Indonesia",-7.252664500000001,112.7493918
"Jl. Kenjeran No.407, Gading, Tambaksari, Kota SBY, Jawa Timur 60132, Indonesia",-7.247355000000002,112.77732
"Jl. Nginden Semolo No.18, Ngenden Jangkungan, Sukolilo, Kota SBY, Jawa Timur 60118, Indonesia",-7.299756099999999,112.7638824
"Jl. Mojopahit No.1, Keputran, Tegalsari, Kota SBY, Jawa Timur 60265, Indonesia",-7.281202,112.7441377
"Jl. Pogot No.26, Tanah Kali Kedinding, Kenjeran, Kota SBY, Jawa Timur 60129, Indonesia",-7.2324853,112.7664842
